0	0
4548	0
4548	1
8964	1
8964	0
9584	0
9584	1
11180	1
11180	0
11828	0
11828	1
12316	1
12316	0
12940	0
12940	1
14520	1
14520	0
15176	0
15176	1
16776	1
16776	0
17416	0
17416	1
17908	1
17908	0
18532	0
18532	1
20092	1
20092	0
20768	0
20768	1
21252	1
21252	0
21876	0
21876	1
22360	1
22360	0
22988	0
22988	1
24600	1
24600	0
25224	0
25224	1
25708	1
25708	0
26332	0
26332	1
27952	1
27952	0
28572	0
28572	1
30196	1
30196	0
30812	0
30812	1
31300	1
31300	0
31924	0
31924	1
33520	1
33520	0
34160	0
34160	1
34648	1
34648	0
35272	0
35272	1
35756	1
35756	0
36384	0
36384	1
38004	1
38004	0
38616	0
38616	1
39108	1
39108	0
39732	0
39732	1
40216	1
40216	0
40848	0
40848	1
41320	1
41320	0
41976	0
41976	1
43544	1
43544	0
44180	0
44180	1
45800	1
45800	0
46424	0
46424	1
46912	1
46912	0
47536	0
47536	1
48020	1
48020	0
48644	0
48644	1
49128	1
49128	0
49784	0
49784	1
51368	1
51368	0
51988	0
51988	1
53588	1
53588	0
54228	0
54228	1
55848	1
55848	0
56468	0
56468	1
56960	1
56960	0
57580	0
57580	1
58068	1
58068	0
58720	0
58720	1
