0	0
4564	0
4564	1
8928	1
8928	0
9604	0
9604	1
11204	1
11204	0
11848	0
11848	1
12336	1
12336	0
12952	0
12952	1
14552	1
14552	0
15196	0
15196	1
16800	1
16800	0
17436	0
17436	1
17924	1
17924	0
18544	0
18544	1
20136	1
20136	0
20788	0
20788	1
21284	1
21284	0
21896	0
21896	1
22384	1
22384	0
23004	0
23004	1
24628	1
24628	0
25244	0
25244	1
25732	1
25732	0
26352	0
26352	1
27944	1
27944	0
28592	0
28592	1
30188	1
30188	0
30836	0
30836	1
31320	1
31320	0
31936	0
31936	1
33568	1
33568	0
34184	0
34184	1
34672	1
34672	0
35288	0
35288	1
35776	1
35776	0
36404	0
36404	1
38008	1
38008	0
38636	0
38636	1
39124	1
39124	0
39748	0
39748	1
40232	1
40232	0
40860	0
40860	1
42452	1
42452	0
43096	0
43096	1
44692	1
44692	0
45336	0
45336	1
46932	1
46932	0
47580	0
47580	1
48064	1
48064	0
48688	0
48688	1
49172	1
49172	0
49796	0
49796	1
50284	1
50284	0
50932	0
50932	1
52524	1
52524	0
53144	0
53144	1
54740	1
54740	0
55384	0
55384	1
55872	1
55872	0
56492	0
56492	1
56976	1
56976	0
57608	0
57608	1
58088	1
58088	0
58748	0
58748	1
